fickle floozy pickle,1812-11-04,2020-01-16 13:00:00,576
armistice signed,1918-11-01,1918-11-11 11:11:11,1918111
pearl harbor,1941-12-07,1941-12-07 08:00:00,1941
this is a bad line
gladly bagrooted biscuitbox,2018-11-07,2016-12-31 04:11:59,23023
rescue vixen patriot doodles,1941-12-07,1951-12-07 08:00:00,6766
heartemoji x 3,2018-06-16,2018-06-16 12:00:00,
oops,,,
negatively varied ,,,-23023
rescue vixen patriot doodles,1948-11-07,,
RESCUE POODLES clippers needed,,,
,1961-01-11,1958-07-16 18:36:18,
